,,EP_TTM,EP_LYR,BP_LF,BP_LYR,NCF_TTM,OCF_TTM,SP_TTM,SP_LYR,FCFP_LYR,EV/EBITDA,DYR,sales_gr_TTM,net_asset_gr_TTM,gross_margin_gr_TTM,net_profit_gr_TTM,total_asset_gr_TTM,net_cash_flow_gr_TTM,invest_cash_flow_gr_TTM,finance_cash_folw_gr_TTM,operate_cash_flow_gr_TTM,operete_profit_gr_TTM,CUR,QR,BOOK_LEVEL,DEBT_TO_ASSETS,CASH_FLOW_LIABILITY,DEBT_TO_EQUITY,REV_5D,REV_10D,REV_3M,REV_6M,REV_1Y,REV_3Y,REV_LAST1M_MAX,LN_HIGH-LOW,RVI,RSTR12,CYF,CRY,CR20,RSI,DEA,MACD,K,D,J,INDUSTRY_SW,CAP
2015-01-30,000402.SZ,0.07009098534165158,0.09521740690669732,0.7196613478671283,0.797466848209607,-0.14138599998245202,-0.1328756415776407,0.6324441237928354,0.6547313330230911,-0.2112369284818608,12.169386334209564,2.4920367435257265,3.5642,6.6178,18.8763,-1.6212,9.5688,-1192.8355701,-484.61343939999995,448.4337,-475.06994189999995,2.2817,2.2731,0.5551,1.2559,71.5035,-13.1854,2.7718,0.94599628,0.92870201,1.54407295,1.60252366,2.13361285,1.82164977,0.07920792,0.31097426468724204,-0.14634146,45.29062669037518,65.10322690565494,8.216358018773737e+24,0.55947776,37.36663085996986,0.14268097037353514,-0.22516830017379946,37.768551092202785,44.085504383502894,25.13464450960258,房地产,30337594483.44
2015-01-30,000413.SZ,0.035539867553852814,0.017297393752367263,0.2886272454556202,0.3014879718860861,-0.026464689803819625,-0.08708618181860599,0.0740899478125106,0.04364898598036291,-0.031072046771210293,18.607319814269303,,109.99022289999999,13.3864,1.2264,157.096,36.068000000000005,-133.7492,38.7291,-54.3396,2.8558,105.5284,4.6112660000000005,4.4071212,0.4615,41.4591,-95.5745439,0.7189,1.04563233,1.04563233,1.03084833,1.04155844,1.20592136,1.8515531000000003,0.10039113,0.1905449314189441,-0.5,60.99124336193839,81.05531163016825,6.809200557468566e+24,4.342691656285,57.10522704268346,0.043394059752524215,0.11301987417528946,58.257369545232045,75.81351422125269,23.14508019319078,电子,16189726350.419996
2015-01-30,000415.SZ,0.05774500749777105,0.04500776591346384,0.4124133112333578,0.4185751179795237,-0.09931022046407516,0.2666502852727934,0.3935563894076065,0.2726707203799971,-0.28985509603726534,16.875360881583006,1.1380880121396053,109.99022289999999,28.1479,-15.7476,128.7149,76.5279,-201.8183,-217.0488,59.4107,408.5973,116.6291,0.5883,0.5882,1.82113745,81.2147,29.4224,5.5665,,,,,,,0.02216944,0.09676366843230796,,48.82990418664431,,6.809200557468566e+24,,51.077604517613146,-0.0044367882564888455,-0.007597534829412851,48.05905961497872,55.97450617387333,32.22816649718952,非银金融,16727716496.38
2015-01-30,000423.SZ,0.0505596404291197,0.04805860396032795,0.21919897518057255,0.2366195273299137,-0.011511619338768693,0.026913685693517733,0.15057798206110964,0.16046344450860991,0.0234582493173134,13.617204386781573,1.8291089626339168,-6.8672,18.0057,-4.1577,7.9573,19.1727,-151.0889,-459.7698,-33.4647,-16.1296,5.6695,4.3545,3.4379,0.0141,18.0414,58.5602,0.2241,0.97852212,0.95770771,1.10767004,1.06453408,1.04652215,0.9271143000000001,0.059640099999999995,0.13765593949076976,-0.51898734,45.962656650789135,65.31151955178044,8.167444878295731e+24,1.26554956,36.19912515494518,0.5409953784682104,-0.37995448486485417,41.86293082382439,54.545187816484535,16.498416838504085,医药生物,25017850393.18
2015-01-30,000425.SZ,0.047783537716000336,0.055889085961774936,0.7991412426450608,,-0.06082298644102443,-0.006605096215218399,0.9578873947018935,1.0001287618589911,0.058973099133449024,19.02845531874497,0.7642330134909414,-0.2891,6.8092,-4.4872,-17.6676,1.9525,-483.8472,-17.5555,-45.3344,-475.06994189999995,-5.3315,2.1089,1.7043,0.5126,57.9895,-1.0193,1.4049,0.90610687,0.87472366,1.19176707,1.49496222,1.70606463,0.92433889,0.04987932,0.27807920511843937,-0.61616162,35.728737122170315,71.90606643854,8.367199012567874e+24,0.26582776,24.008551957675486,0.0156091402306836,-0.12057203659113135,41.68777075723353,47.69732566110164,29.66866094949735,机械设备,26932781157.32
2015-01-30,000503.SZ,0.00040504386409473045,0.00039408164102690464,0.038495955115464435,0.03978617251732063,0.004951038463244077,0.003828278535161642,0.0058315780763391134,0.006252317255006785,0.002690841006304411,69.15185640491651,,-14.0034,0.7086,-25.3945,-41.6769,-1.3638,117.6356,36.7813,-75.3466,148.7628,-45.4607,4.6112660000000005,4.4071212,0.0019,7.2647,127.4129439,0.0797,1.05743146,1.08050723,1.56715141,1.96883396,1.73484848,6.07628524,0.06442498,0.2337537304262252,-0.53225806,65.53369900122668,66.86103706780571,7.397424114126528e+24,2.23385301,64.32657531659441,1.0513558140205737,0.4754316847017295,81.0954674924448,81.11607385316888,81.05425477099664,医药生物,32901510073.92
2015-01-30,000538.SZ,0.038251447850074234,0.035417332473601085,0.1621199955070428,0.1706453047591572,-0.012204751390763602,0.01905334272979458,0.27340126610195353,0.24127885281272016,-0.010582699059089876,21.33236360154591,0.5296049149878843,16.679000000000002,25.476,-3.383,12.7435,16.5419,-191.0747,-484.61343939999995,-23.2487,53.7888,14.9008,3.3299,1.9882,0.0184,27.011,33.0536,0.3742,0.97354988,0.95334747,1.185534,1.12836142,1.00342078,1.72267847,0.03510393,0.12744632467238634,-0.30344828,46.62608306039375,44.779239936378175,8.215287135305449e+24,1.09408685,36.39753403870055,1.0513558140205737,-0.8376846903738593,34.69631009237973,47.52925931376715,9.030411649604886,医药生物,65543532485.51999
2015-01-30,000540.SZ,0.06799087425647463,0.04437438286499455,0.2865781745883436,0.29938284960122263,-0.03350221999621582,0.026918784059510526,0.4306389802292585,0.31092810524008835,0.00830730375798967,13.60952637472115,1.5840812789534628,53.8215,44.8482,-4.6367,113.02,30.2612,-191.9034,9.1711,-132.2568,169.82,92.4003,1.3169,0.2095,1.82113745,88.59899999999999,2.4074,8.3,1.03498542,1.20338983,1.82754183,2.32405892,2.87187132,2.34443749,0.1,0.4054651081081644,-0.59793814,63.9967718125966,82.02728946891794,8.31741770932982e+24,2.24535316,58.827106775218894,0.2290661026853508,0.09057534152387807,77.63591848662689,81.05884808511966,70.79005928964133,房地产,18221978407.2
2015-01-30,000559.SZ,0.03115854804380102,0.022079134232390142,0.15750817150547972,0.16561083446549435,-0.04939064324047718,0.0677941364957938,0.4186101337243367,0.38539674169360416,0.0929889873120904,17.206325851502907,0.6629541238520474,12.5891,6.039,17.0887,77.7257,10.8509,-416.1041,-484.61343939999995,11.895999999999999,73.2804,106.6585,1.2929,0.9917,0.3947,63.778,28.6702,1.935,0.99367589,1.01126307,0.92426471,0.84475806,2.8595366,2.86000651,0.04970514,0.13537431146147816,-0.30434783,48.44489219873761,68.98347581957512,7.962295211713696e+24,1.29512195,48.310904292310354,-0.1268632703324936,0.1336309949607684,69.02957457140432,73.2849158703116,60.51889197358978,汽车,23986714152.39
2015-01-30,000568.SZ,0.07402145923170941,0.12822402235373953,0.3756030459073832,0.3622796423111086,-0.01249680839034373,0.060653914107447325,0.26290118796095263,0.3890604058447357,0.048458317691891885,17.298804196820022,4.93124322957399,-39.7726,1.159,-11.6366,-51.4717,-4.9328,6.6098,-118.2857,34.2126,-33.6588,-51.2049,3.8075,2.8494,0.004,20.2963,63.7474,0.2573,0.99479709,0.98303342,1.16727717,1.04163539,1.12118886,0.56859285,0.07352941,0.21457509072314826,-0.075,43.600926137879746,60.99943290055392,7.948614145235462e+24,0.68610075,40.55377438334109,-0.12458133538620345,-0.11802332031313485,59.59664163096198,60.084472286367166,58.62098032015162,食品饮料,26776834185.68
2015-01-30,000623.SZ,0.04615033328820597,0.03834621512240114,0.4325296022573233,0.4556553260608066,0.01702012504608167,0.0061763691797750144,0.08226537080135654,0.07087171370358462,0.0050329079966715045,16.62922101561502,0.3239390994493035,29.6225,16.5071,6.2053,59.1244,11.7927,96.7859,244.9334,32.4915,-27.5019,75.2565,3.7336,3.2083,0.0253,8.3643,21.5005,0.0919,0.9563197,0.88376754,1.40063521,1.81695115,1.80144026,1.98597301,0.05264868,0.21553331826899874,-0.6,40.724995587970135,77.74352045608724,8.210760422482293e+24,0.65836592,29.805145895038592,0.11520811868904905,-0.5221315840753503,37.45544056752078,39.26388122826052,33.8385592460413,医药生物,24357686933.79
2015-01-30,000625.SZ,0.07462451502028879,0.03919800548729844,0.2618103390859811,0.2866611574931699,0.02083924249150035,0.04155732409449068,0.5277466654210753,0.4302814962003599,0.02724657592310956,8.317079306348107,0.5213764337851929,26.6192,33.3161,2.5896,126.258,29.6779,-34.9094,234.1917,-459.6956,43.3736,131.645,0.9719,0.7853,0.2824,64.2479,10.5484,1.7853,0.96478873,0.95138889,1.32917533,1.41133186,1.75380733,5.37274488,0.09981741,0.26160983214200584,0.03773585,50.2576810847949,49.03821660829029,7.992209128529731e+24,1.58078101,37.69508706528368,0.4827886973460937,-0.25498533641996823,39.68980212050469,52.51981501824048,14.029776325033113,汽车,64972603161.33999
2015-01-30,000627.SZ,0.007214299230717661,-0.009034444282221452,0.13790783268921825,0.12960040441884296,-0.0066343808850950065,-0.0015218266344489387,0.08214783661280968,0.08657371968056067,-0.026255510376607248,54.88511548125533,,6.6133,4.575,-65.29731779999999,73.1648,5.9165,-549.6827,181.5039,-824.9376,-132.5813,227.0456556,0.9690000000000001,0.6917,0.013000000000000001,31.1209,-2.4502,0.4637,1.13617607,1.3826542883149993,2.01463415,2.75333333,3.42738589,2.88811189,0.10080645,0.6028023086739072,-0.71875,72.21275746899987,89.29051687692453,6.809200557468566e+24,-1.72099448,63.42973119195175,0.8026118115565399,0.7943349867622675,78.69665390739537,90.19788969740705,55.694182327371976,非银金融,11180652293.16
2015-01-30,000630.SZ,0.017874745995852745,0.021176589711651702,0.5830432345127681,0.5484286886663745,0.15011355958640651,0.1894434644526964,2.499046747225072,2.340634732218647,-0.033125139878008865,19.96722295727969,0.5257907310443172,17.3349,43.1162,-9.7597,-8.3564,13.8624,1307.3869700999999,-3.4078,-2.2904,319.0789,-13.014000000000001,1.1557,0.7805,0.3936,67.1704,18.6889,2.1527,0.96059783,0.97248968,1.332705,1.33396226,1.53009287,0.8749302999999999,0.10012919999999999,0.29273684311340503,-0.20833333,42.43624362823464,68.79198414373144,8.309232046355857e+24,0.84012876,34.799628008605445,0.011925931437182784,-0.05626658056013077,42.45836996574901,48.091392417521114,31.19232506220479,有色金属,20100020053.54
2015-01-30,000651.SZ,0.11615257875482385,0.08945747936973868,0.3638681674692469,0.3633432139250682,0.09525516495845096,0.12522852681028868,1.1521386833755811,0.9762189869319172,0.19056510332559534,4.4657703373916435,3.7128712871287135,16.91,27.2796,21.9936,36.1408,23.1827,-24.0069,45.3564,-71.4737,-22.5616,35.0061,1.0891,0.9957,0.0662,74.4379,13.115,2.9803,0.93931644,0.94216418,1.439259,1.32328857,1.39624721,2.62809173,0.09913793,0.15918885268304844,-0.35714286,47.394003359524795,51.19926869956913,7.952923843066738e+24,1.39564661,33.56532208650343,0.6259246881312619,-0.43414539315155,36.101596195814096,54.99680865706415,-1.6888287266859976,家用电器,120653358225.2
2015-01-30,000671.SZ,0.048473395189254434,0.033555980092689355,0.29630282695078025,0.32989255320170485,-0.01714853304892,-0.20473013413538885,0.4978286563879879,0.3833092690538957,-0.28985509603726534,18.65578815581575,0.3217519527824385,28.8553,20.1198,3.8169,51.07899999999999,70.8268,-119.0511,-34.3895,86.666,-253.4814,54.2577,1.5356,0.4305,1.82113745,90.9632,-30.3771,9.0530336,1.11388685,1.13984962,1.19088767,1.35478105,1.72264833,4.5109580000000005,0.06746988,0.26998249535237995,0.57024793,67.68849576855311,54.10717957057969,8.40948774227205e+24,1.55423197,80.89099534801744,0.0427524592289452,0.14834598760933654,86.95020898400897,80.97086879310255,98.9088893658218,房地产,15710552834.0
2015-01-30,000709.SZ,0.013719123676740216,0.0031897341307554447,1.1769674015725715,1.1816200544866926,-0.01092214422410128,0.2666502852727934,2.499046747225072,2.340634732218647,0.1964303804171057,10.815817665625751,0.5830903790087464,-4.2185,0.6064,10.8411,212.6892891,2.5727,-125.8735,16.5526,-251.3229,169.3782,227.0456556,0.4954,0.2409,0.3453,72.2063,22.1332,2.7328,1.0058651,0.95277778,1.30418251,1.70646766,1.92661149,1.21237904,0.04438642,0.23052365861183216,-0.3,46.6099359606775,68.42941641028011,8.290798204858014e+24,0.66728625,45.273550616212404,-0.002146703201857721,-0.03426224828344649,55.44451689265744,48.902691282356656,68.52816811325899,钢铁,23813765738.35
2015-01-30,000723.SZ,0.004458803657313017,0.01667273323493779,0.20533109368626706,0.20826197898131854,0.046934279046833664,0.0503054137653084,0.4620873071307873,0.5713355854163272,0.0020536988823248547,40.80291528606837,0.18939393939393934,-16.4153,1.7008,21.0644,-54.5617,3.8392,1307.3869700999999,-191.7045,94.8437,50.7922,-50.165,2.4751,1.5486,,31.318,49.3498,0.4964,0.96585366,1.00635324,1.09392265,1.2,1.29217332,0.91913219,0.10025707,0.19099382490406008,-0.88372093,48.36103589494529,83.4384542395208,8.468416974605565e+24,1.09066667,41.52548678479239,0.0608259778498484,-0.007939860127331194,61.392315402719014,67.8880891465384,48.40076791508022,采掘,1543323687.8399994
2015-01-30,000725.SZ,0.025958570500149877,0.02144281659965355,0.6882432968829302,0.6938909822486358,0.15011355958640651,0.08446918582749327,0.31242224904694954,0.3077361984923947,-0.16142922092313225,11.699958290135223,,2.5915,71.0951614,-7.2909,7.9949,42.773999999999994,216.5967,-17.1873,94.2965,32.1348,-2.8945,3.1721,2.9483,0.4537,40.815,51.3119,0.6991,0.98730159,0.94528875,1.18250951,1.3580786,1.48095238,1.80813953,0.02990033,0.1901735320766399,-0.25,43.69555300519203,69.94091899652399,8.142625620676464e+24,0.71081081,36.659821176714594,0.012324250523334171,-0.044133253212667437,52.2839886702719,52.402720792421206,52.04652442597328,电子,35782699877.689995
2015-01-30,000728.SZ,0.02210610617262317,0.0107344592728363,0.2821296974738173,0.2822049845882803,0.03742918240886682,0.0385175461452113,0.05613348817625585,0.03208267160967946,-0.0997286796230076,,0.31746031746031744,57.5233,8.1509,,92.1058,39.4091,184.0176,-41.1509,-98.7001,132.1064,90.1713,,,,57.9371,,1.3774,0.90128755,0.94254937,1.76966292,2.72727273,3.27766138,3.81375792,0.08660131,0.2747268689056493,-0.43795619999999996,51.03870959694671,83.84299151691134,8.161336895020324e+24,1.01085482,43.6682209189581,0.8735104450446893,-0.22850424969725716,57.769734681514905,64.11563378647031,45.07793647160409,非银金融,61869150000.0
2015-01-30,000768.SZ,0.005081957971332875,0.005374734374685906,0.17760460678209028,0.1825980691576413,0.009313425488439327,0.05155044020277032,0.28353383553760925,0.2647749232281643,-0.03362627380949913,56.44857700956937,0.06097560975609756,-8.6771,2.6324,-9.3129,36.0786,4.6527,164.8874,-11.9555,-187.8129,247.1869,31.8469,1.3391,0.6178,0.0961,64.3982,15.9252,1.9249,0.94252874,1.12947658,1.55499368,2.03137903,2.74234778,3.39170702,0.09995746,0.4074547985538481,-0.56934307,62.03730959770935,79.71094248744659,7.972323756242754e+24,2.19198383,54.590809466052704,1.0513558140205737,0.25709685465462684,66.08832569825866,73.78483800305808,50.69530108865982,国防军工,57558574224.0
2015-01-30,000776.SZ,0.03874248603579628,0.0216959589748416,0.3055607441911969,0.3055629196053996,0.13769018185867354,0.10413731973106992,0.1033303697005751,0.0633139203239248,0.19544270707901992,,0.9132420091324199,26.9193,7.7227,,33.8703,47.7045,426.9128,35.8398,-57.2052,172.0566,33.5737,,,,75.5713,,3.2307,0.91364205,0.84425598,1.83263598,2.04672897,1.8567131999999997,2.22570012,0.07172605,0.30680176813304433,-0.85714286,38.64317156151786,64.94308711770809,8.061885259339385e+24,0.58101266,27.72338303180953,0.12488839482364,-0.7984421602073246,30.531276078329107,34.1593295899001,23.275169055187106,非银金融,129632483061.6
2015-01-30,000783.SZ,0.02703406194453348,0.015923123166914313,0.2207548172799441,0.2206813667400712,0.07736950072582605,0.08423751734149705,0.07204549490462854,0.04825005241557028,-0.18805736225865466,,0.9384384384384384,36.5954,6.9045,,49.9162,42.9673,1271.3865,107.5553,-130.3602,464.905,54.0702,,,,69.7178,,2.3044,0.92887029,0.88153541,1.90285714,2.12440191,2.82525924,4.00718809,0.07941403,0.3002509731868944,-0.73076923,38.90721007942875,74.44664706112921,7.92116695967357e+24,0.42333557,28.559706903033682,-0.01660905164235264,-0.4170511734267223,39.17642799082968,40.86085255970653,35.807578853075974,非银金融,63168329212.56
2015-01-30,000786.SZ,0.05920893337910847,0.05100734108021519,0.3839079010006785,0.40603987336319175,0.06821841191110585,0.06569594354181932,0.4633557296669418,0.42191614546429707,-0.022013680810137538,8.962488578317744,1.3931218602951736,15.1846,71.0951614,1.4785,25.697,25.423000000000002,662.4493,-8.7519,595.1718,-16.1489,20.3464,1.1437,0.7951,0.0883,39.5111,25.763,0.7681,0.99327532,1.03205919,1.30985915,1.60549872,1.6608322,2.48933708,0.07787611,0.21259057427828004,-0.34693878,50.790819941924106,50.26408007853143,8.076481383212588e+24,0.98045113,45.706405313595255,0.20828231496357716,-0.026267603353740232,73.61301379927455,76.70080418414496,67.43743302953379,建筑材料,14440250111.94
2015-01-30,000792.SZ,0.022655331280551156,0.024611358433677653,0.39861746597266257,0.41366597783389103,-0.00047418405843207146,0.005694456030611221,0.21802733322017984,0.1893339398258907,-0.01589988194807215,23.320244633672267,0.2492559523809524,20.0327,6.0471,8.5599,-47.1069,22.0462,90.9534,30.3695,-23.3827,-77.0062,-4.664,1.0611,0.8185,1.6973,69.4795,2.2473,2.4986,1.17656483229,1.15962036,1.43666489,1.57469244,1.74678892,0.85965107,0.1,0.2669596446167015,0.11180124,72.54614884734485,69.58899773729979,8.173775265469766e+24,2.43605547,82.72858397213864,0.2340515883158503,0.4750863759420092,83.98982916525047,75.2939486439531,101.3815902078452,化工,28856623111.68
2015-01-30,000826.SZ,0.030093237791956436,0.024144893532316827,0.20148740151299635,0.2136937526768892,-0.008601037949048273,-0.02083959185262642,0.1638605418992975,0.11065541331387743,-0.013673838577350028,20.943784890955907,0.2675585287135346,65.7626,17.1895,-18.497,36.7124,41.5158,-120.26299999999999,-49.089,-28.0599,-475.06994189999995,33.2468,2.0854,1.9785,0.3819,46.3168,-21.096999999999998,0.8797,0.97490675,0.99412172,1.21615905,1.30385488,1.2040158,1.95756655,0.0491152,0.14774005321174774,-0.31395349,50.6532500337517,63.13968102502768,8.178261488316626e+24,1.38052095,42.5557991838036,0.37240366277126624,-0.14257214856513767,43.316891829208544,55.52319025069289,18.90429498623988,公用事业,24130840252.5
2015-01-30,000839.SZ,0.007252177611955823,0.006799922664099531,0.30434602781756176,0.3364325725100176,-0.007116971646899775,-0.030786411307209983,0.1255228850808757,0.1109911445645604,-0.09012012016600608,27.936252613611522,0.8169934640522877,19.9792,0.0102,-10.8429,-9.4309,14.1049,77.7858,-484.61343939999995,222.0652,-475.06994189999995,6.4186,1.2312,0.9524,0.4453,54.6681,-12.9072,1.2425,1.04081633,1.088,1.32467532,1.51032696,1.98472453,1.85251666,0.08163265,0.2683218251672396,-0.13207547,59.34549531723342,76.0871991378976,8.375078791701222e+24,1.50992953,59.5526430993491,0.1428291158361652,0.06541608468220206,68.98984222406321,69.8250421558062,67.31944236057726,综合,19187459263.44
2015-01-30,000858.SZ,0.06617094746205637,0.0946098415888788,0.452623010596805,0.4679027240143601,-0.044608171250290235,0.0046403017263212136,0.2447009973422955,0.2933244730204846,-0.0029987822844130888,7.719941056403508,3.153153153153153,-18.301,8.2873,3.7442,-39.7297,1.7597,-215.3736,-220.4958,12.7246,-84.4543,-40.0609,4.6112660000000005,4.4071212,0.0017,12.5829,7.0411,0.1473,0.99062918,0.94993582,1.2899477,1.13846154,1.52186531,0.73286186,0.1,0.1676007817155068,-0.23809524,48.88859990174672,56.85163892987182,8.361077492804603e+24,1.23393532,41.38883156988,0.4596249086924844,-0.32457433884067244,52.664248977054214,57.61724682808124,42.758253275000136,食品饮料,84262787065.8
